Date,Player,Team,Abbr,Pick,Expected_Skins,Won_Game,Actual_Skins,Skins_Luck,game_id,Final_Score
2026-03-28,Eristeo,San Antonio Spurs,SAS,W,0.9060017066550884,TRUE,1,0.09399829334491161,2026-03-28_1,127-95
2026-03-28,Eristeo,Utah Jazz,UTA,L,0.891401193578213,FALSE,1,0.10859880642178699,2026-03-28_6,109-134
2026-03-28,Adam,Atlanta Hawks,ATL,W,0.8547047328254279,TRUE,1,0.14529526717457208,2026-03-28_4,123-113
2026-03-28,Thomas,Sacramento Kings,SAC,L,0.8547047328254278,FALSE,1,0.1452952671745722,2026-03-28_4,113-123
2026-03-28,Brian,Detroit Pistons,DET,W,0.549193293261626,TRUE,1,0.450806706738374,2026-03-28_2,109-87
2026-03-28,Matt,Minnesota Timberwolves,MIN,W,0.450806706738374,FALSE,0,-0.450806706738374,2026-03-28_2,87-109
2026-03-28,Kenneth,Memphis Grizzlies,MEM,W,0.35123285087926076,TRUE,1,0.6487671491207392,2026-03-28_5,125-124
2026-03-28,Thomas,Chicago Bulls,CHI,L,0.3512328508792607,FALSE,1,0.6487671491207393,2026-03-28_5,124-125
2026-03-28,Matt,Philadelphia 76ers,PHI,W,0.3241106719367589,TRUE,1,0.6758893280632411,2026-03-28_3,118-114
2026-03-28,Brian,Charlotte Hornets,CHA,L,0.3241106719367589,FALSE,1,0.6758893280632411,2026-03-28_3,114-118
2026-03-28,Eristeo,Phoenix Suns,PHX,L,0.1085988064217871,TRUE,0,-0.1085988064217871,2026-03-28_6,134-109
2026-03-28,Brian,Milwaukee Bucks,MIL,W,0.09399829334491172,FALSE,0,-0.09399829334491172,2026-03-28_1,95-127
