Date,Player,Team,Abbr,Pick,Expected_Skins,Won_Game,Actual_Skins,Skins_Luck,game_id,Final_Score
2026-04-21,Adam,Boston Celtics,BOS,W,0.8582389477530141,FALSE,0,-0.8582389477530141,2026-04-21_1,97-111
2026-04-21,Kenneth,Portland Trail Blazers,POR,L,0.8244714926329276,TRUE,0,-0.8244714926329276,2026-04-21_2,106-103
2026-04-21,Eristeo,San Antonio Spurs,SAS,W,0.8244714926329275,FALSE,0,-0.8244714926329275,2026-04-21_2,103-106
2026-04-21,Kenneth,Houston Rockets,HOU,W,0.6550628602550719,NA,NA,NA,2026-04-21_3,
2026-04-21,Adam,Los Angeles Lakers,LAL,W,0.34493713974492807,NA,NA,NA,2026-04-21_3,
2026-04-21,Matt,Philadelphia 76ers,PHI,W,0.14176105224698574,TRUE,1,0.8582389477530142,2026-04-21_1,111-97
